UID,SID,SEG
topical-000000-0,agent_1,are you a fan of google or microsoft ?
topical-000000-1,agent_2,both are excellent technology they are helpful in many ways . for the security purpose both are super .
topical-000000-2,agent_1,"i ' m not a huge fan of google , but i use it a lot because i have to . i think they are a monopoly in some sense ."
topical-000000-3,agent_2,"google provides online related services and products , which includes online ads , search engine and cloud computing ."
topical-000000-4,agent_1,"yeah , their services are good . i ' m just not a fan of intrusive they can be on our personal lives ."
topical-000000-5,agent_2,google is leading the alphabet subsidiary and will continue to be the umbrella company for alphabet internet interest .
topical-000000-6,agent_1,did you know google had hundreds of live goats to cut the grass in the past ?
topical-000000-7,agent_2,"it is very interesting . google provide "" chrome os "" which is a light weight os . google provided a lot of hardware mainly in 2010 to 2015 ."
topical-000000-8,agent_1,i like google chrome . do you use it as well for your browser ?
topical-000000-9,agent_2,"yes . google is the biggest search engine and google service figure out top 100 website , including youtube and blogger ."
topical-000000-10,agent_1,"by the way , do you like fish ?"
topical-000000-11,agent_2,yes . they form a sister group of tourniquets - they make the sea water clean and remove the dust from it . fish is the biggest part in the eco - system .
topical-000000-12,agent_1,did you know that a seahorse is the only fish to have a neck ?
topical-000000-13,agent_2,"freshwater fish only drink water through the skin via osmosis , saltwater fish drink water through the mouth . dolphins are friendly to human beings ."
topical-000000-14,agent_1,"interesting , they also have gills . did you know that jellyfish are immortal ?"
topical-000000-15,agent_2,yes . fish is the important resources of human world wide for the commercial and subsistence fish hunts the fish in the wild fisheries .
topical-000000-16,agent_1,"what about cats , do you like cats ? i ' m a dog fan myself ."
topical-000000-17,agent_2,the cat is referred as domestic cat and wild cat . they make our world very clean from rats !
topical-000000-18,agent_1,"yeah , cats can be cool , but they sure do spend a lot of their time sleeping ."
topical-000000-19,agent_2,cats hear the sounds too faint or too high frequency human ears can hear .
topical-000000-20,agent_1,"i heard that too . well , it was nice chatting with you . have a good day ."
topical-000001-0,agent_1,do you like dance ?
topical-000001-1,agent_2,yes i do . did you know bruce lee was a cha cha dancer ?
topical-000001-2,agent_1,yes he even won a hardcore cha cha championship in 1958
topical-000001-3,agent_2,yeah . did you know tupac was a ballet dancer ?
topical-000001-4,agent_1,yes and he even was in the production of the nutcracker
topical-000001-5,agent_2,yeah . ballet dancer go through 4 pairs of shoes a week
topical-000001-6,agent_1,yes that is a lot of shoes and also a lot of money
topical-000001-7,agent_2,yeah true . did you know babies are really good at dancing ?
topical-000001-8,agent_1,yes and they smile more when they hit the beat
topical-000001-9,agent_2,yeah they are much smarter than we give them credit for
topical-000001-10,agent_1,true did you know jackson had a patent on a dancing device ?
topical-000001-11,agent_2,yes it helped him smooth out his dance moves
topical-000001-12,agent_1,nice . do you like shakespeare ?
topical-000001-13,agent_2,yes i do . do you know that he popularized many phrases
topical-000001-14,agent_1,"yes like good riddance , in my heart of hearts and such"
topical-000001-15,agent_2,"yes and then he also invented names like jessica , olivia and miranda"
topical-000001-16,agent_1,yes . and for his works you have to use old english for it to make sense
topical-000001-17,agent_2,yes otherwise the rhymes and puns do not seem to work out
topical-000001-18,agent_1,yes . he lived at the same time as pocahontas too
topical-000001-19,agent_2,i wonder if they met how that would go from there
topical-000001-20,agent_1,yeah interesting point . nice chat
topical-000002-0,agent_1,hey what ' s up do use google very often ? i really love the company and was surprised to hear that it was founded back in 1998 .
topical-000002-1,agent_2,i think everyone must use it daily ! its become ingrained in every day life
topical-000002-2,agent_1,agreed . the google headquarters in mountain view california is nicknamed the google plex .
topical-000002-3,agent_2,"thats funny . the current ceo is sundar pichai , i didnt know larry page was replaced"
topical-000002-4,agent_1,oh yeah i didn ' t know that either . i also want to go to google plex to see the goats who mow their lawn by eating it .
topical-000002-5,agent_2,say what now ? ? they have that ? ?
topical-000002-6,agent_1,yeah apparently lol ! they do that instead of hiring people to mow !
topical-000002-7,agent_2,thats both funny and i guess imaginative . leave it to a huge tech company to employ actual goats !
topical-000002-8,agent_1,yeah exactly i am sure they are cheaper . one thing i bet they couldn ' t exploit is fish . i think fish are so cool there is actually a breed of jellyfish that is immortal .
topical-000002-9,agent_2,i had rememered hearing about that before . immortatlity is wasted on a jellyfish haha . did you know a seahorse is the only fish that has an actual neck ?
topical-000002-10,agent_1,that is so funny i guess i never considered a seahorse a fish . the black swallower fish sounds a lot like a snake because it can eat pray that is so large .
topical-000002-11,agent_2,i guess they live up to their name then !
topical-000002-12,agent_1,it seems they do . i also didn ' t know that there was a difference with how freshwater and saltwater fish drink .
topical-000002-13,agent_2,thats crazy . i wonder why fresh water ones only use osmosis ?
topical-000002-14,agent_1,yeah and saltwater fish are lucky because they can do that and drink through their mouth ' s .
topical-000002-15,agent_2,seems like fresh water fish got the short end of the stick with that one . have you ever been to a cat cafe ?
topical-000002-16,agent_1,"i have never been to a cat cafe no , what about you ? seems like they are popular in japan and taiwan ."
topical-000002-17,agent_2,no but i would love to ! paying hourly to hang out with adorable cats ? im in !
topical-000002-18,agent_1,yeah that would be a lot of fun . i didn ' t realize that cats sleep so much . must be nice .
topical-000002-19,agent_2,"i guess thats where the phrase "" cat nap "" comes from"
topical-000002-20,agent_1,oh yeah i guess so ha ha . there ' s even a town in alaska that has a mayor cat .
